Feature Set,Accuracy
"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50}",70.38
"{1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50}",71.46
"{1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50}",71.92
"{1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50}",72.08
"{1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50}",72.36
"{1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50}",72.42
"{1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50}",72.54
"{1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50}",72.66
"{1, 2, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50}",72.8
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50}",73.46
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50}",73.64
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 40, 42, 43, 44, 46, 47, 48, 49, 50}",73.8
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 40, 42, 43, 44, 46, 47, 48, 49, 50}",73.7
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 40, 42, 43, 44, 46, 47, 48, 49, 50}",73.84
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 42, 43, 44, 46, 47, 48, 49, 50}",73.64
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 42, 43, 44, 47, 48, 49, 50}",73.56
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 18, 19, 21, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 42, 43, 44, 47, 48, 49, 50}",73.64
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 18, 19, 21, 22, 24, 26, 27, 28, 29, 31, 32, 33, 34, 35, 37, 42, 43, 44, 47, 48, 49, 50}",73.68
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 18, 19, 21, 22, 24, 26, 28, 29, 31, 32, 33, 34, 35, 37, 42, 43, 44, 47, 48, 49, 50}",73.66
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 18, 19, 21, 22, 24, 26, 28, 29, 32, 33, 34, 35, 37, 42, 43, 44, 47, 48, 49, 50}",73.76
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 18, 19, 21, 22, 24, 26, 28, 29, 32, 33, 34, 35, 37, 43, 44, 47, 48, 49, 50}",73.78
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 18, 19, 21, 22, 24, 26, 28, 32, 33, 34, 35, 37, 43, 44, 47, 48, 49, 50}",73.94
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 16, 18, 19, 21, 22, 24, 26, 28, 32, 33, 34, 35, 43, 44, 47, 48, 49, 50}",73.86
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 18, 19, 21, 22, 24, 26, 28, 32, 33, 34, 35, 43, 44, 47, 48, 49, 50}",74.2
"{1, 3, 6, 7, 9, 10, 11, 13, 14, 15, 18, 19, 21, 22, 24, 26, 28, 32, 33, 35, 43, 44, 47, 48, 49, 50}",74.18
"{1, 3, 6, 7, 9, 10, 11, 14, 15, 18, 19, 21, 22, 24, 26, 28, 32, 33, 35, 43, 44, 47, 48, 49, 50}",74.06
"{1, 3, 6, 7, 9, 11, 14, 15, 18, 19, 21, 22, 24, 26, 28, 32, 33, 35, 43, 44, 47, 48, 49, 50}",74.14
"{1, 3, 6, 7, 9, 11, 14, 15, 18, 19, 21, 22, 24, 26, 28, 33, 35, 43, 44, 47, 48, 49, 50}",74.4
"{1, 6, 7, 9, 11, 14, 15, 18, 19, 21, 22, 24, 26, 28, 33, 35, 43, 44, 47, 48, 49, 50}",74.26
"{1, 6, 7, 9, 11, 14, 15, 18, 19, 21, 24, 26, 28, 33, 35, 43, 44, 47, 48, 49, 50}",74.3
"{1, 6, 7, 9, 11, 14, 15, 18, 19, 21, 24, 26, 28, 33, 35, 43, 44, 47, 48, 50}",74.16
"{1, 6, 7, 9, 11, 14, 18, 19, 21, 24, 26, 28, 33, 35, 43, 44, 47, 48, 50}",73.98
"{1, 6, 7, 11, 14, 18, 19, 21, 24, 26, 28, 33, 35, 43, 44, 47, 48, 50}",74.02
"{1, 6, 7, 11, 14, 19, 21, 24, 26, 28, 33, 35, 43, 44, 47, 48, 50}",74.34
"{1, 6, 7, 14, 19, 21, 24, 26, 28, 33, 35, 43, 44, 47, 48, 50}",74.26
"{1, 6, 7, 14, 19, 24, 26, 28, 33, 35, 43, 44, 47, 48, 50}",74.48
"{1, 6, 7, 14, 19, 24, 26, 28, 35, 43, 44, 47, 48, 50}",74.0
"{1, 6, 14, 19, 24, 26, 28, 35, 43, 44, 47, 48, 50}",74.5
"{1, 6, 14, 19, 24, 26, 28, 43, 44, 47, 48, 50}",74.74
"{1, 6, 14, 19, 24, 26, 28, 43, 47, 48, 50}",74.9
"{1, 14, 19, 24, 26, 28, 43, 47, 48, 50}",75.8
"{1, 14, 24, 26, 28, 43, 47, 48, 50}",76.78
"{14, 24, 26, 28, 43, 47, 48, 50}",78.08
"{24, 26, 28, 43, 47, 48, 50}",78.24
"{24, 28, 43, 47, 48, 50}",79.4
"{24, 28, 43, 47, 48}",80.4
"{24, 28, 47, 48}",81.34
"{28, 47, 48}",82.54
"{28, 47}",83.76
{47},83.3
{},81.5
